Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index
2018/1/2,,,,,
2018/1/3,-1.57E-05,1.87E-05,0.001648859,0.001648859,0.001556623
2018/1/4,9.05E-06,3.84E-05,0.000205384,0.000205384,0.002134757
2018/1/5,4.68E-05,0.001690727,0.003220813,0.003220813,0.004410753
2018/1/8,6.14E-05,0.00507849,0.009961151,0.009961151,0.005253626
2018/1/9,4.32E-05,0.000482734,0.001493565,0.001493565,0.007312736
2018/1/10,-5.90E-05,-0.000573951,-0.005169029,-0.005169029,0.00883927
2018/1/11,1.59E-05,0.000822479,0.007168692,0.007168692,0.000494298
2018/1/12,0.000304901,0.000869599,-0.00072901,-0.00072901,0.007190717
2018/1/15,3.18E-05,0.000501647,-0.005310006,-0.005310006,0.010008561
2018/1/16,0.000290278,-0.000342988,-0.012424925,-0.012424925,0.004937471
2018/1/17,7.45E-05,0.000370241,0.001594329,0.001594329,0.004021397
2018/1/18,0.000112052,0.000687501,7.96E-05,7.96E-05,0.009872531
2018/1/19,-0.000270424,0.00159505,0.005799241,0.005799241,0.003627688
2018/1/22,0.000488881,0.002061382,0.002014804,0.002014804,0.004012
2018/1/23,0.000621668,0.000776413,-0.001805628,-0.001805628,0.014750618
2018/1/24,-0.000499096,-0.002746078,-0.000894652,-0.000894652,0.001204972
2018/1/25,0.000518366,0.002442199,0.002894502,0.002894502,-0.007191891
2018/1/26,-0.000654119,-0.006024673,-0.005387737,-0.005387737,0.004851496
2018/1/29,-0.000921728,-0.001136747,-0.002485802,-0.002485802,-0.016415427
2018/1/30,1.60E-05,0.003905385,0.003716762,0.003716762,-0.013323089
2018/1/31,0.000383628,0.000807087,0.002708486,0.002708486,0.012248736
2018/2/1,0.001069175,0.001311191,0.003408308,0.003408308,0.007827464
2018/2/2,0.000772186,-0.000475162,0.001645102,0.001645102,0.002677741
2018/2/5,-0.002579352,-0.009092796,-0.006354079,-0.006354079,0.010063971
2018/2/6,-0.001409578,-0.008688768,-0.008428845,-0.008428845,-0.020069786
2018/2/7,-0.002484878,-0.00519189,-0.008162987,-0.008162987,-0.028192355
2018/2/8,-0.004419121,-0.010283439,-0.010338608,-0.010338608,-0.027646313
2018/2/9,-7.98E-05,0.001239947,-0.000551694,-0.000551694,-0.046104447
2018/2/12,0.00039433,0.003041763,0.003445199,0.003445199,-0.001713969
2018/2/13,-0.000121085,0.001328541,0.002401618,0.002401618,0.016934876
