,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,close7,close3,turbulence,Date
0,20120104,600028.SH,3.3308,3.2946,3.367,3.2901,528181.38,0,100,66.66666667,100,0,0,0,2012-01-04
1,20120104,600031.SH,10.2331,10.6732,10.7748,10.2161,235312.56,0,0,-66.66666667,100,0,0,0,2012-01-04
2,20120104,600036.SH,7.8924,8.0818,8.1832,7.8654,522606.17,0,100,66.66666667,100,0,0,0,2012-01-04
3,20120104,600104.SH,8.5878,8.6606,8.8122,8.4423,272418.21,0,100,66.66666667,100,0,0,0,2012-01-04
4,20120104,600276.SH,4.9663,5.1496,5.1933,4.9576,11847.13,0,0,-66.66666667,100,0,0,0,2012-01-04
5,20120104,600519.SH,128.0579,132.3641,133.2419,127.8713,33878.28,0,0,-66.66666667,100,0,0,0,2012-01-04
6,20120104,600585.SH,11.3302,11.7232,11.79,11.3228,207915.93,0,0,-66.66666667,100,0,0,0,2012-01-04
7,20120104,600837.SH,5.978,6.3055,6.3055,5.9612,291690.79,0,0,-66.66666667,100,0,0,0,2012-01-04
8,20120104,601288.SH,1.5157,1.5273,1.5332,1.5098,799008.77,0,100,66.66666667,100,0,0,0,2012-01-04
9,20120104,601628.SH,15.0753,15.3257,15.4552,15.0667,91884.49,0,0,-66.66666667,100,0,0,0,2012-01-04
10,20120105,600028.SH,3.358,3.3127,3.3987,3.3037,478884.57,0.000610256,100,66.66666667,100,0,0,0,2012-01-05
11,20120105,600031.SH,10.2077,10.1654,10.3685,10.123,166082.55,-0.000569872,0,-66.66666667,100,0,0,0,2012-01-05
12,20120105,600036.SH,8.0547,7.9127,8.1765,7.8924,840847.02,0.003641346,100,66.66666667,100,0,0,0,2012-01-05
13,20120105,600104.SH,8.7273,8.5514,8.8789,8.5272,455529.49,0.003129808,100,66.66666667,100,0,0,0,2012-01-05
14,20120105,600276.SH,4.7132,4.8948,4.9751,4.6434,38922.96,-0.005678526,0,-66.66666667,100,0,0,0,2012-01-05
15,20120105,600519.SH,126.5926,127.1801,128.0095,126.0465,30122.64,-0.032875321,0,-66.66666667,100,0,0,0,2012-01-05
16,20120105,600585.SH,11.0633,11.308,11.3599,11.004,203875.65,-0.005988141,0,-66.66666667,100,0,0,0,2012-01-05
17,20120105,600837.SH,5.9444,5.9612,6.0788,5.9192,388377.3,-0.000753846,0,-66.66666667,100,0,0,0,2012-01-05
18,20120105,601288.SH,1.5448,1.5157,1.5507,1.5157,1431808.44,0.000652885,100,66.66666667,100,0,0,0,2012-01-05
19,20120105,601628.SH,14.3155,15.0235,15.1357,14.2032,153772.17,-0.017046795,0,-66.66666667,100,0,0,0,2012-01-05
20,20120106,600028.SH,3.3851,3.3942,3.4168,3.3263,394654.47,0.001617957,100,97.79135338,100,0,0,0,2012-01-06
21,20120106,600031.SH,10.2077,10.2077,10.25,9.9622,164071.72,-0.00072613,0,-81.5260742,100,0,0,0,2012-01-06
22,20120106,600036.SH,8.1088,8.0683,8.1765,8.0142,540381.34,0.006317436,100,98.76178156,100,0,0,0,2012-01-06
