trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,Date
20120104,1628.168,1631.255,1594.421,1595.12,1617.613,-22.493,-1.3905,12822705,11591786.06,2012-01-04
20120105,1591.237,1622.837,1590.537,1596.593,1595.12,1.473,0.0923,18078365,15109105.15,2012-01-05
20120106,1595.731,1609.207,1588.598,1608.358,1596.593,11.765,0.7369,13869973,11459377.05,2012-01-06
20120109,1608.491,1659.582,1598.39,1659.054,1608.358,50.696,3.152,21627579,20009493.68,2012-01-09
20120110,1658.198,1707.597,1655.304,1704.744,1659.054,45.69,2.754,28517417,26442594.97,2012-01-10
20120111,1703.654,1709.887,1686.644,1694.264,1704.744,-10.48,-0.6148,18430906,18803937.16,2012-01-11
20120112,1690.392,1717.802,1688.18,1701.452,1694.264,7.188,0.4243,17766371,17504501.24,2012-01-12
20120113,1703.386,1710.489,1671.291,1685.913,1701.452,-15.539,-0.9133,17531050,17659844.43,2012-01-13
20120116,1676.143,1689.839,1661.381,1661.994,1685.913,-23.919,-1.4188,11617615,13034129.81,2012-01-16
20120117,1664.485,1736.958,1649.039,1736.606,1661.994,74.612,4.4893,25662975,25533354.22,2012-01-17
20120118,1736.289,1750.109,1709.786,1714.699,1736.606,-21.907,-1.2615,21955716,23648660.32,2012-01-18
20120119,1717.14,1757.249,1713.95,1750.521,1714.699,35.822,2.0891,21808599,21973502.03,2012-01-19
20120120,1756.779,1779,1748.665,1775.091,1750.521,24.57,1.4036,22211599,22090544.77,2012-01-20
20120130,1778.135,1778.135,1742.278,1742.818,1775.091,-32.273,-1.8181,18884774,18407464.14,2012-01-30
20120131,1744.216,1754.766,1734.046,1744.708,1742.818,1.89,0.1084,13032093,13239423.41,2012-01-31
20120201,1739.638,1751.558,1709.536,1713.684,1744.708,-31.024,-1.7782,13526270,14193726.58,2012-02-01
20120202,1719.999,1761.941,1714.246,1761.941,1713.684,48.257,2.816,17495141,17836381.97,2012-02-02
20120203,1756.147,1780.222,1750.365,1772.192,1761.941,10.251,0.5818,19013624,19129273.03,2012-02-03
20120206,1775.436,1781.888,1753.434,1764.818,1772.192,-7.374,-0.4161,16663063,16256800.16,2012-02-06
20120207,1753.384,1756.304,1721.852,1732.024,1764.818,-32.794,-1.8582,14938529,14397210.15,2012-02-07
20120208,1731.99,1786.198,1729.543,1782.059,1732.024,50.035,2.8888,22114499,22752042.08,2012-02-08
20120209,1781.154,1789.078,1771.086,1778.097,1782.059,-3.962,-0.2223,19641196,21389844.65,2012-02-09
20120210,1772.188,1800.034,1770.805,1778.317,1778.097,0.22,0.0124,23482256,20972221.79,2012-02-10
20120213,1757.02,1786.477,1751.066,1768.539,1778.317,-9.778,-0.5498,17557923,16994977.75,2012-02-13
20120214,1765.87,1767.768,1747.83,1758.984,1768.539,-9.555,-0.5403,12775513,13194356.72,2012-02-14
20120215,1753.784,1784.237,1751.112,1773.169,1758.984,14.185,0.8064,18224436,19165036.57,2012-02-15
20120216,1770.399,1776.924,1751.357,1761.877,1773.169,-11.292,-0.6368,17181728,17006014.78,2012-02-16
20120217,1774.189,1778.627,1756.953,1765.652,1761.877,3.775,0.2143,12351480,12347860.08,2012-02-17
20120220,1790.39,1792.506,1768.063,1769.412,1765.652,3.76,0.213,18156015,18885764.02,2012-02-20
20120221,1772.247,1780.559,1756.41,1779.94,1769.412,10.528,0.595,13532793,13834849.72,2012-02-21
20120222,1781.982,1798.007,1772.428,1795.26,1779.94,15.32,0.8607,24083520,23446652.55,2012-02-22
20120223,1794.348,1805.671,1791.187,1799.644,1795.26,4.384,0.2442,23418448,23546631.73,2012-02-23
20120224,1801.39,1827.039,1797.048,1826.716,1799.644,27.072,1.5043,32001576,30445324.14,2012-02-24
20120227,1833.444,1851.357,1828.038,1828.408,1826.716,1.692,0.0926,35919727,35722943.8,2012-02-27
20120228,1826.898,1843.958,1826.098,1839.055,1828.408,10.647,0.5823,25687529,25622950.03,2012-02-28
20120229,1835.773,1841.565,1819.826,1822.769,1839.055,-16.286,-0.8856,20527453,22430984.7,2012-02-29
20120301,1814.317,1827.66,1813.447,1818.279,1822.769,-4.49,-0.2463,14237421,15160407.07,2012-03-01
20120302,1821.039,1844.077,1821.039,1843.848,1818.279,25.569,1.4062,23251539,23075601.06,2012-03-02
20120305,1847.454,1850.252,1826.776,1827.938,1843.848,-15.91,-0.8629,24262549,23886976.54,2012-03-05
20120306,1822.521,1824.352,1792.783,1794.264,1827.938,-33.674,-1.8422,23333947,24453059.11,2012-03-06
20120307,1777.843,1793.728,1774.508,1776.363,1794.264,-17.901,-0.9977,18853132,19243354.9,2012-03-07
20120308,1782.695,1804.909,1782.695,1798.1,1776.363,21.737,1.2237,19954715,21221439.18,2012-03-08
20120309,1803.912,1811.938,1794.34,1811.486,1798.1,13.386,0.7445,17309708,19867413.78,2012-03-09
20120312,1810.095,1810.59,1785.97,1796.937,1811.486,-14.549,-0.8032,20328768,22262530.07,2012-03-12
20120313,1795.679,1814.132,1793.887,1813.201,1796.937,16.264,0.9051,17035288,18221521.46,2012-03-13
20120314,1823.115,1831.856,1770.505,1776.407,1813.201,-36.794,-2.0292,38304463,37698420.6,2012-03-14
20120315,1774.556,1783.136,1759.092,1760.476,1776.407,-15.931,-0.8968,25533675,24688224.34,2012-03-15
20120316,1764.762,1781.209,1754.057,1780.076,1760.476,19.6,1.1133,19459334,21432330.72,2012-03-16
20120319,1775.961,1781.077,1760.343,1778.981,1780.076,-1.095,-0.0615,20652596,22962341.42,2012-03-19
20120320,1774.986,1775.94,1754.809,1755.725,1778.981,-23.256,-1.3073,21832446,22307708.38,2012-03-20
20120321,1765.73,1775.228,1750.081,1758.624,1755.725,2.899,0.1651,21143536,22816802.59,2012-03-21
20120322,1759.319,1770.415,1749.129,1760.335,1758.624,1.711,0.0973,16985324,17121591.17,2012-03-22
20120323,1756.194,1760.253,1741.53,1747.916,1760.335,-12.419,-0.7055,16381248,17184111.04,2012-03-23
20120326,1747.851,1754.803,1741.002,1749.888,1747.916,1.972,0.1128,11070335,12182464.17,2012-03-26
20120327,1756.995,1760.75,1745.8,1749.185,1749.888,-0.703,-0.0402,12325533,17594311.95,2012-03-27
20120328,1743.41,1746.404,1706.255,1708.853,1749.185,-40.332,-2.3058,17266635,18809756.64,2012-03-28
20120329,1702.058,1709.712,1681.971,1688.09,1708.853,-20.763,-1.215,17979978,18415493.49,2012-03-29
20120330,1693.648,1706.008,1690.267,1705.633,1688.09,17.543,1.0392,15207403,15584062.31,2012-03-30
20120405,1698.744,1739.444,1691.478,1735.283,1705.633,29.65,1.7384,22842757,24781025.71,2012-04-05
20120406,1732.512,1739.888,1726.501,1737.512,1735.283,2.229,0.1285,15962621,18220080.85,2012-04-06
20120409,1730.45,1735.057,1719.458,1721.426,1737.512,-16.086,-0.9258,10819416,12152773.72,2012-04-09
20120410,1719.577,1737.241,1702.949,1736.24,1721.426,14.814,0.8606,12690505,15365011.4,2012-04-10
20120411,1721.187,1748.298,1718.08,1734.594,1736.24,-1.646,-0.0948,15347021,16107172.34,2012-04-11
