,0
0,3950.2823664450552
1,18068.029258604976
2,5738.9733131947
3,-17277.878335410845
4,6914.551315457444
5,7813.891658477718
6,8743.795096603222
7,-14389.202326522209
8,14827.32750879426
9,-4247.325366663397
10,16675.364295591717
11,13025.987771217013
12,10463.076041126624
13,11104.796396680176
14,21959.0831878396
15,-251.01254695863463
16,-22004.904029186815
17,31140.478659742745
18,-1588.259114804212
19,2363.6118040201254
20,-1212.145085514523
21,15333.185387483449
22,35906.28348122025
23,-8284.921251129592
24,-24.77872338250745
25,9042.370703571592
26,24276.729536471074
27,12460.778565342422
28,-4565.462594470126
29,1496.3592947270954
30,-19302.58851252345
31,-19964.635422499035
32,4909.410200298531
33,8039.225335398107
34,-6532.658207611879
35,4479.0817043541465
36,17112.452744805487
37,15498.407178776572
38,-6853.938726936351
39,6974.052652847837
40,5245.229502190603
41,-5746.801278585219
42,-24870.776212982484
43,-1513.546053649392
44,15571.688105145353
45,3495.83328217722
46,22513.71868581837
47,14505.024804633344
48,-3822.097917363979
49,13313.50044383225
50,17528.608235175023
51,11870.02257869253
52,-6977.060204162262
53,11679.201964969747
54,-23187.693184542237
55,-4923.947485837853
56,-2223.79683113005
57,17543.687520503532
58,3413.6634488774
59,-3870.5270982226357
60,5211.112234904198
61,-29989.29339629039
62,2185.9221837925725
63,-375.04924475355074
64,-12987.915009493241
65,-5238.339808836696
66,13697.43934973923
67,799.6780653039459
68,-28969.973000816768
69,10401.121499638772
70,-10112.809092419455
71,-9495.260311910999
72,18009.655561230727
73,-13551.621134849265
74,-4204.692648976808
75,12847.89636287035
76,4164.217659225804
77,-14746.564057192765
78,-7657.648875849554
79,6997.465595158283
80,-4391.5253283404745
81,-11718.734939704533
82,3670.508997270721
83,4814.075074361172
84,12629.344528591493
85,-500.2472744642291
86,-6628.603749299538
87,-1985.56857383647
88,2604.59548531787
89,-2606.5174406855367
90,-1720.0661853251513
91,1199.7342025059042
92,2191.4197799022077
93,14581.076282356167
94,1925.460243248148
95,-2126.2171431772877
96,-3282.724860443268
97,1578.251272108173
98,-2395.6515840153443
99,4752.474037502892
100,12523.92481593287
101,517.901440504007
102,3429.093204481527
103,-3968.5084473597817
104,3738.1978279151954
105,2439.6352497192565
106,597.7719992410857
107,8981.75840019621
108,7894.8228299263865
109,-1991.2291819807142
110,1800.08114706981
111,2878.6521593749058
112,-12755.04173745215
113,367.07467386545613
114,-8683.271934441524
115,428.89681851747446
116,-1904.399604828097
117,4516.5276127627585
118,-4589.9530362244695
119,1623.0113849802874
120,-5848.163043332519
121,1305.3198127327487
122,-3282.357089784462
123,4494.601815219037
124,10497.058798036305
