,0
0,1361.413064406719
1,-1347.2952738686
2,-26232.20788812032
3,-2457.060512244003
4,17272.10899317451
5,32853.13158046082
6,16257.727562868735
7,-14764.089472851949
8,-27226.769434394082
9,7214.905581339961
10,29335.931177231483
11,17227.529332210077
12,-2615.9322123238817
13,-925.9252678151242
14,28108.729038712103
15,-2154.9904932964128
16,-1684.6328388752881
17,-4962.223540083738
18,-4.437613793183118
19,-14500.597907554824
20,-33588.45001548622
21,7292.27247024863
22,-28712.729695206275
23,9810.364298885688
24,15473.857467700262
25,22231.518991309684
26,-1190.4292475439142
27,-19026.17879976821
28,-36979.18202111707
29,34536.9373840834
30,-17534.359535837313
31,-7777.9641062475275
32,-8330.654244162608
33,-26804.953433871735
34,1736.1526583419181
35,7584.375587475719
36,-3861.113299226854
37,-377.96316449693404
38,26092.81531291455
39,41155.83661154704
40,-7591.883376527345
41,-12390.522173265228
42,2304.1138743688352
43,-6674.173117218306
44,-18871.281677563908
45,15304.012248916551
46,-4679.682436614996
47,-2298.197490565479
48,-17746.503106362186
49,-27541.211328802397
50,-742.7932797307149
51,20208.10760492133
52,6877.7220921712
53,-20420.83419635473
54,8788.263114433503
55,18436.81272173673
56,29857.682136965916
57,21621.67876302963
58,-19172.190039030043
59,27225.09948042943
60,-16979.14512934815
61,-2152.981499918271
62,-478.5773513051681
63,-27202.910515482305
64,19868.64308952121
65,3028.6979833634105
66,-3370.5943711670116
67,11119.823542795377
68,-355.8796503422782
69,27190.304737150902
70,-6864.577909428626
71,-25156.32702292828
72,-1940.0015117800795
73,20215.286813100567
74,-15786.029359791428
75,25095.64632715471
76,-1633.3481827334035
77,10138.712139479816
78,18669.500211986713
79,-16432.496846253285
80,8429.248016048688
81,-17116.484257590026
82,2126.7726288146805
83,-11097.030280878302
84,14633.265061607352
85,34039.779714284
86,1527.742844966473
87,47638.142829566495
88,-6122.986776110018
89,7434.7025229851715
90,-14201.783173463773
91,-9325.425522157224
92,10314.755121700466
93,29883.42573182285
94,3539.342083694646
95,-20988.695490210317
96,51501.561983571155
97,18274.717338147573
98,-7734.802005133359
99,18759.558951222803
100,40821.04457058152
101,29020.411387197208
102,-8862.618255438283
103,5233.784202420153
104,42034.369913551025
105,-14308.915099587524
106,-26571.25710550486
107,-1778.535993839847
108,-16787.77941365773
109,-40508.07434871653
110,10363.321811484639
111,23855.21687725163
112,16960.2201542838
113,27742.2078391253
114,-44070.30059396592
115,-11589.882775885984
116,-20331.933896586765
117,-3433.78990793461
118,-1908.0229172722902
119,28574.622457923368
120,12733.169466407737
121,29587.62158337189
122,32385.84624985885
123,15074.270360645372
124,40608.146666256944
