,0
0,27823.432792580454
1,-6203.75233761291
2,-1916.628271479858
3,-575.7150721913204
4,49773.51222736994
5,61516.78198091802
6,24615.533548327396
7,-45789.16678950447
8,-29386.280618142802
9,13043.050833113026
10,-8043.6616190047935
11,9239.403131238418
12,-11024.07663025544
13,391.71610045270063
14,36743.218234485714
15,-3987.086422293214
16,4423.467938482063
17,-2908.770039518364
18,-8367.24442274496
19,-16993.734383363044
20,-29189.9327027353
21,29396.74523840798
22,-16577.32848082087
23,14483.745621075155
24,9449.943881870247
25,351.1062528300099
26,2249.65780720138
27,-14423.195236888481
28,-26427.7478473098
29,61875.17290471797
30,-21906.58863733406
31,-8047.069454618264
32,-10747.077586962376
33,-8168.267924095038
34,3622.4922485419083
35,7116.944202259881
36,-7384.472332845442
37,-12333.415832425933
38,18487.62563013332
39,51258.74822860048
40,-126.56386327045038
41,-3648.676627758192
42,14882.499231539667
43,16878.930570316734
44,-1704.8152234922163
45,6697.986705403775
46,22064.926424718462
47,-6885.148389745504
48,-23384.211667541647
49,-29174.987604343332
50,3944.0407447081525
51,8792.840266251937
52,-4802.526591159869
53,-27895.706762443297
54,-6908.058327315375
55,22669.339898571605
56,-4455.12500982685
57,2677.5483542552684
58,-24282.24682979891
59,27512.430778510636
60,361.3317376920022
61,-1701.977186904056
62,-14847.190028651152
63,-26535.55893901456
64,14715.218090017792
65,4700.624259543605
66,17764.314661716577
67,-578.8785165282898
68,-2835.27868820657
69,6061.918538429774
70,-9393.427714557154
71,-6530.105888288235
72,3127.7153810583986
73,23486.855552142486
74,-22727.761469185352
75,32722.636646698462
76,-2754.132996010827
77,1534.802977188956
78,-8118.72295840946
79,-15887.525706946617
80,613.6690056326333
81,-11887.677308577811
82,-9919.554914793931
83,-22243.736787971342
84,11438.247856538277
85,13948.900691090152
86,2546.0144827272743
87,34241.693412278546
88,-15151.400251526851
89,5746.433756347047
90,-35587.923507113475
91,6441.230154978577
92,8141.37636403041
93,22209.421910787234
94,-5521.6171858715825
95,-14528.023260789458
96,14999.190865420504
97,17436.124052197672
98,-14632.786107335007
99,-5074.401819962775
100,34926.4371683097
101,27028.069325706456
102,6892.615856645862
103,1454.1700307114515
104,58745.47226414224
105,-20629.00211502053
106,-12257.636505585397
107,30451.291688781697
108,-6518.662050463026
109,-14263.842543322826
110,-6972.08419394237
111,15845.505555058131
112,-11230.862746552099
113,3320.3098315794487
114,-33282.806180451065
115,7386.896810066188
116,-18449.41928862501
117,-19576.96245834115
118,10489.94494927791
119,8065.3138245050795
120,1709.1809373635333
121,-15729.960347206565
122,27705.007564802654
123,-6247.058512568474
124,20639.693137637805
