,0
0,890893.5161709295
1,896635.2151556178
2,915189.7948296907
3,925719.9745980198
4,911718.965241074
5,916442.7268587906
6,929667.7780325741
7,944295.1419992634
8,936381.4535204028
9,945522.999058853
10,938877.0019598859
11,960984.9546387686
12,971492.079136704
13,978823.1109661657
14,983412.4834795202
15,1005005.6390288189
16,1003135.239294164
17,977741.7239042557
18,1011079.6871137957
19,1012521.6257971651
20,1021910.5978738085
21,1016632.691085017
22,1047126.0608833049
23,1109147.7178322452
24,1089869.9212808344
25,1097016.8367644013
26,1097194.3156139508
27,1139387.4384485083
28,1144919.5363699081
29,1136728.2805388519
30,1139861.8687527871
31,1115472.1264486562
32,1083641.2011768844
33,1091743.0190524177
34,1094203.3429377526
35,1094248.3915963324
36,1100337.5590978502
37,1117246.7870114727
38,1151165.1302769375
39,1137063.4284968008
40,1142921.5906746327
41,1140007.1986815548
42,1139183.0192086513
43,1098817.5938395753
44,1094000.2090308648
45,1114095.8803564187
46,1118071.865700524
47,1169747.0811689259
48,1182485.4285739325
49,1180107.6076434692
50,1194333.0810570703
51,1218613.0784257606
52,1236482.8010271573
53,1226438.9513220554
54,1243916.0718869963
55,1217438.7899406082
56,1209627.345335827
57,1204467.6675574412
58,1239521.7806732757
59,1242543.8318668746
60,1235887.7637039952
61,1249683.4428716276
62,1212091.0026399223
63,1227647.8467434766
64,1228712.0794410915
65,1209004.592726911
66,1199121.6875347537
67,1224498.4328725345
68,1218632.570166978
69,1149165.4151939962
70,1150693.7277873047
71,1133997.4626632791
72,1108343.1638254854
73,1158240.6796811556
74,1132844.8223637717
75,1124685.6193394363
76,1155432.306702168
77,1156986.1510059214
78,1130124.1531147717
79,1116950.6590418958
80,1128644.3350133426
81,1121601.1730008153
82,1099180.520882606
83,1112042.3149288178
84,1121362.9689033902
85,1137311.4154738013
86,1148611.1637558176
87,1139817.372229222
88,1126118.4059000832
89,1131321.0827408105
90,1121566.9908260547
91,1121292.4311337634
92,1113197.6516875173
93,1123522.389018285
94,1160077.993315382
95,1155832.9203759586
96,1157462.5097651393
97,1153997.8494844297
98,1155964.192440854
99,1161328.488495662
100,1176796.3594092724
101,1224290.40349227
102,1223361.7199730894
103,1232666.1371527903
104,1218790.9460868675
105,1212248.428437176
106,1228779.573689293
107,1228954.3334631403
108,1270800.8418550615
109,1264813.770618778
110,1236798.3550241003
111,1231115.6306266463
112,1246232.0473480606
113,1223152.5226788821
114,1216911.9942050583
115,1215231.4144719865
116,1221073.6858722144
117,1228295.5576069532
118,1227374.841566497
119,1219836.9516543127
120,1219590.059906018
121,1208551.5325820416
122,1219710.0895710879
123,1217980.8297583417
124,1217905.1616730615
125,1222229.4570411467
