,0
0,1000000.0
1,1001648.8594571889
2,1001854.582052998
3,1005081.3682347212
4,1015093.1354775189
5,1016609.2432956902
6,1011354.361142792
7,1018604.4491989319
8,1017861.8767880436
9,1012457.0244343817
10,999877.32200204
11,1001471.455572582
12,1001551.1308748741
13,1007359.3674207515
14,1009388.9988755034
15,1007566.418028365
16,1006664.9966758911
17,1009578.7902751282
18,1004139.4456403822
19,1001643.3534357348
20,1005366.2237510734
21,1008089.2436312143
22,1011525.1218390755
23,1013189.1836739917
24,1006751.2994882714
25,998265.5484766485
26,990116.7197451311
27,979880.291461451
28,979339.6971479959
29,982713.7171839324
30,985073.8197844957
31,988878.0536101081
32,990186.715655808
33,994339.3141216458
34,986070.6068393935
35,977669.9095929564
36,982808.907337815
37,977596.0014395934
38,971213.9722024146
39,973357.0853313354
40,970788.8847927927
41,979519.0495997395
42,982991.0769299925
43,980504.9665269683
44,967141.0500298853
45,982839.7837227831
46,1002855.8007717507
47,994870.1646319922
48,1008855.5060925328
49,1003853.6861767332
50,997847.1758076679
51,982889.4562712125
52,963386.022326728
53,957684.1549034253
54,958228.8494808336
55,931053.6924287729
56,941137.4467241149
57,936271.038375733
58,936133.9131533578
59,934686.750963572
60,941662.5656019493
61,948638.4360333057
62,967894.4393699457
63,967038.0104222891
64,954891.4975910711
65,944158.8896669702
66,927140.9442563645
67,917986.663346082
68,919221.4577614988
69,927175.832044228
70,923843.6201615618
71,927473.1297560285
72,937672.8625564667
73,937737.5572678301
74,932788.809597437
75,937795.5300723609
76,939050.3033322786
77,939127.08071009
78,934919.5086131268
79,942189.2407952091
80,953979.2509312911
81,953422.3886929941
82,960121.3545096566
83,951051.0296187683
84,959759.9308279401
85,962113.3776733475
86,956099.5905854559
87,952176.662339027
88,962930.1219148745
89,962025.7249121538
90,960653.2004486673
91,947477.9700305273
92,943376.34317917
93,949410.6330322365
94,952910.0002835384
95,945008.14314255
96,931891.2404119885
97,945754.6805673541
98,940977.9104273987
99,960078.5571060268
100,970393.0209419191
101,970696.4256512314
102,970363.4007448619
103,957041.1177120956
104,956122.0394231317
105,977288.2535902071
106,970899.9956978832
107,965845.2494717364
108,969244.9151968532
109,950967.5447697194
110,957500.9300245555
111,954148.8535471658
112,959870.9968168814
113,944629.4829749004
114,928593.1370722115
115,905238.3681663693
116,892249.7076255919
117,913668.4923203159
118,886916.7847479474
119,885088.995050408
120,874997.7207699576
121,879046.3186544767
122,884700.5949730165
123,904494.7473470918
124,907247.7874986002
125,899870.3800195397
