,0
0,1702359.7477960715
1,1702587.0768597312
2,1701239.7815858626
3,1675007.5736977423
4,1672550.5131854983
5,1689822.6221786728
6,1722675.7537591336
7,1738933.4813220024
8,1724169.3918491504
9,1696942.6224147563
10,1704157.5279960963
11,1733493.4591733278
12,1750720.9885055379
13,1748105.056293214
14,1747179.1310253988
15,1775287.860064111
16,1773132.8695708145
17,1771448.2367319393
18,1766486.0131918555
19,1766481.5755780623
20,1751980.9776705075
21,1718392.5276550213
22,1725684.80012527
23,1696972.0704300636
24,1706782.4347289493
25,1722256.2921966496
26,1744487.8111879593
27,1743297.3819404154
28,1724271.2031406472
29,1687292.02111953
30,1721828.9585036135
31,1704294.5989677762
32,1696516.6348615286
33,1688185.980617366
34,1661381.0271834943
35,1663117.1798418362
36,1670701.555429312
37,1666840.442130085
38,1666462.4789655881
39,1692555.2942785027
40,1733711.1308900497
41,1726119.2475135224
42,1713728.7253402572
43,1716032.839214626
44,1709358.6660974077
45,1690487.3844198438
46,1705791.3966687603
47,1701111.7142321453
48,1698813.5167415799
49,1681067.0136352177
50,1653525.8023064153
51,1652783.0090266846
52,1672991.116631606
53,1679868.838723777
54,1659448.0045274224
55,1668236.2676418559
56,1686673.0803635926
57,1716530.7625005585
58,1738152.4412635881
59,1718980.251224558
60,1746205.3507049875
61,1729226.2055756394
62,1727073.224075721
63,1726594.646724416
64,1699391.7362089336
65,1719260.3792984548
66,1722289.0772818183
67,1718918.4829106512
68,1730038.3064534466
69,1729682.4268031043
70,1756872.7315402552
71,1750008.1536308266
72,1724851.8266078983
73,1722911.8250961183
74,1743127.1119092188
75,1727341.0825494274
76,1752436.728876582
77,1750803.3806938487
78,1760942.0928333285
79,1779611.5930453152
80,1763179.096199062
81,1771608.3442151106
82,1754491.8599575206
83,1756618.6325863353
84,1745521.602305457
85,1760154.8673670643
86,1794194.6470813483
87,1795722.3899263148
88,1843360.5327558813
89,1837237.5459797713
90,1844672.2485027565
91,1830470.4653292927
92,1821145.0398071355
93,1831459.794928836
94,1861343.2206606588
95,1864882.5627443534
96,1843893.867254143
97,1895395.4292377143
98,1913670.1465758618
99,1905935.3445707285
100,1924694.9035219513
101,1965515.9480925328
102,1994536.35947973
103,1985673.7412242917
104,1990907.525426712
105,2032941.895340263
106,2018632.9802406754
107,1992061.7231351705
108,1990283.1871413307
109,1973495.407727673
110,1932987.3333789564
111,1943350.655190441
112,1967205.8720676927
113,1984166.0922219765
114,2011908.3000611018
115,1967837.9994671359
116,1956248.11669125
117,1935916.1827946631
118,1932482.3928867285
119,1930574.3699694562
120,1959148.9924273796
121,1971882.1618937873
122,2001469.7834771592
123,2033855.629727018
124,2048929.9000876634
125,2089538.0467539204
