,0
0,1360994.8031958023
1,1368244.1412421456
2,1362040.3889045327
3,1360123.7606330528
4,1359548.0455608615
5,1409321.5577882314
6,1470838.3397691494
7,1495453.8733174768
8,1449664.7065279724
9,1420278.4259098296
10,1433321.4767429426
11,1425277.8151239378
12,1434517.2182551762
13,1423493.1416249208
14,1423884.8577253735
15,1460628.0759598592
16,1456640.989537566
17,1461064.457476048
18,1458155.6874365297
19,1449788.4430137847
20,1432794.7086304217
21,1403604.7759276864
22,1433001.5211660943
23,1416424.1926852735
24,1430907.9383063486
25,1440357.8821882189
26,1440708.988441049
27,1442958.6462482503
28,1428535.4510113618
29,1402107.703164052
30,1463982.87606877
31,1442076.287431436
32,1434029.2179768176
33,1423282.1403898553
34,1415113.8724657602
35,1418736.3647143021
36,1425853.308916562
37,1418468.8365837166
38,1406135.4207512906
39,1424623.046381424
40,1475881.7946100244
41,1475755.230746754
42,1472106.5541189958
43,1486989.0533505355
44,1503867.9839208522
45,1502163.16869736
46,1508861.1554027637
47,1530926.0818274822
48,1524040.9334377367
49,1500656.721770195
50,1471481.7341658517
51,1475425.7749105599
52,1484218.6151768118
53,1479416.088585652
54,1451520.3818232086
55,1444612.3234958933
56,1467281.6633944649
57,1462826.538384638
58,1465504.0867388933
59,1441221.8399090944
60,1468734.270687605
61,1469095.602425297
62,1467393.625238393
63,1452546.4352097418
64,1426010.8762707273
65,1440726.094360745
66,1445426.7186202887
67,1463191.0332820052
68,1462612.154765477
69,1459776.8760772704
70,1465838.7946157001
71,1456445.366901143
72,1449915.2610128548
73,1453042.9763939132
74,1476529.8319460556
75,1453802.0704768703
76,1486524.7071235687
77,1483770.574127558
78,1485305.3771047469
79,1477186.6541463374
80,1461299.1284393908
81,1461912.7974450234
82,1450025.1201364456
83,1440105.5652216517
84,1417861.8284336803
85,1429300.0762902186
86,1443248.9769813088
87,1445794.991464036
88,1480036.6848763146
89,1464885.2846247877
90,1470631.7183811348
91,1435043.7948740213
92,1441485.025029
93,1449626.4013930303
94,1471835.8233038175
95,1466314.206117946
96,1451786.1828571565
97,1466785.373722577
98,1484221.4977747747
99,1469588.7116674397
100,1464514.309847477
101,1499440.7470157866
102,1526468.816341493
103,1533361.432198139
104,1534815.6022288504
105,1593561.0744929926
106,1572932.072377972
107,1560674.4358723867
108,1591125.7275611684
109,1584607.0655107053
110,1570343.2229673825
111,1563371.1387734402
112,1579216.6443284983
113,1567985.7815819462
114,1571306.0914135256
115,1538023.2852330746
116,1545410.1820431408
117,1526960.7627545157
118,1507383.8002961746
119,1517873.7452454525
120,1525939.0590699576
121,1527648.2400073211
122,1511918.2796601146
123,1539623.2872249172
124,1533376.2287123487
125,1554015.9218499865
