,0
0,1000000.0
1,999842.4619452365
2,1000317.4770901669
3,1000500.8990624901
4,1001607.4749899891
5,1000446.2060349644
6,1000680.452007332
7,1000073.7071783751
8,995561.007575332
9,997258.144835488
10,995496.5752362729
11,997356.956533786
12,1000508.049712861
13,998877.8406668063
14,1000605.4090117671
15,1000200.4843739454
16,1000790.2227814009
17,1000929.4157601311
18,1002603.1292950662
19,1000055.5821289304
20,1002656.9319435694
21,1005045.6953989153
22,1004673.0069456289
23,1007507.1138627684
24,1007881.3406261554
25,1009129.4337590556
26,1005036.5253021277
27,1004775.1989937916
28,1003932.3785701452
29,1005629.4980665022
30,1006948.2777280314
31,1009209.0497120109
32,1015645.7690969253
33,1016222.5321308023
34,1020388.9176569844
35,1026974.4548009635
36,1023557.8145587293
37,1020658.4127910158
38,1018219.2700904456
39,1010063.114515724
40,1003693.5352101305
41,1006528.8001433907
42,1017994.3447134878
43,1018842.7161827316
44,1021623.8185532407
45,1014370.4801995504
46,1014712.6475577464
47,1035589.8776008708
48,1035435.5023870375
49,1035355.7750062024
50,1028454.6841487568
51,1029257.3823234246
52,1047326.7014436049
53,1056249.8508290758
54,1017143.5437729321
55,1016073.4227996378
56,1015398.9498358668
57,1003037.35688176
58,1030498.8897499717
59,1036518.7973001995
60,1040150.1668409812
61,1036936.4249997353
62,1039160.5247781468
63,1052160.6134988656
64,1054224.645759747
65,1053189.7042462023
66,1043393.9105260931
67,1057457.9533972393
68,1041019.876059105
69,1053175.1770424438
70,1050276.6404556525
71,1049850.3042902201
72,1055173.5640582559
73,1069857.8866880273
74,1101453.7181725057
75,1108147.4657383603
76,1110864.25875351
77,1142077.0497821064
78,1144301.0445403073
79,1142297.484751994
80,1126512.015637123
81,1112305.0226037751
82,1111801.4256560444
83,1086656.313442953
84,1090589.200799528
85,1075549.1256108393
86,1075645.0684743258
87,1065452.2278758765
88,1090067.6353714433
89,1119022.7981774616
90,1124127.2054046232
91,1077123.0712790156
92,1069365.894518167
93,1101631.499057207
94,1093455.4868193504
95,1116320.9269880939
96,1152857.6150505913
97,1169661.017907328
98,1150434.7540271296
99,1170636.6698474917
