,datadate,turbulence
0,20120104,0.0
1,20120105,0.0
2,20120106,0.0
3,20120109,0.0
4,20120110,0.0
5,20120111,0.0
6,20120112,0.0
7,20120113,0.0
8,20120116,0.0
9,20120117,0.0
10,20120118,0.0
11,20120119,0.0
12,20120120,0.0
13,20120130,0.0
14,20120131,0.0
15,20120201,0.0
16,20120202,0.0
17,20120203,0.0
18,20120206,0.0
19,20120207,0.0
20,20120208,0.0
21,20120209,0.0
22,20120210,0.0
23,20120213,0.0
24,20120214,0.0
25,20120215,0.0
26,20120216,0.0
27,20120217,0.0
28,20120220,0.0
29,20120221,0.0
30,20120222,0.0
31,20120223,0.0
32,20120224,0.0
33,20120227,0.0
34,20120228,0.0
35,20120229,0.0
36,20120301,0.0
37,20120302,0.0
38,20120305,0.0
39,20120306,0.0
40,20120307,0.0
41,20120308,0.0
42,20120309,0.0
43,20120312,0.0
44,20120313,0.0
45,20120314,0.0
46,20120315,0.0
47,20120316,0.0
48,20120319,0.0
49,20120320,0.0
50,20120321,0.0
51,20120322,0.0
52,20120323,0.0
53,20120326,0.0
54,20120327,0.0
55,20120328,0.0
56,20120329,0.0
57,20120330,0.0
58,20120405,0.0
59,20120406,0.0
60,20120409,0.0
61,20120410,0.0
62,20120411,0.0
63,20120412,0.0
64,20120413,0.0
65,20120416,0.0
66,20120417,0.0
67,20120418,0.0
68,20120419,0.0
69,20120420,0.0
70,20120423,0.0
71,20120424,0.0
72,20120425,0.0
73,20120426,0.0
74,20120427,0.0
75,20120502,0.0
76,20120503,0.0
77,20120504,0.0
78,20120507,0.0
79,20120508,0.0
80,20120509,0.0
81,20120510,0.0
82,20120511,0.0
83,20120514,0.0
84,20120515,0.0
85,20120516,0.0
86,20120517,0.0
87,20120518,0.0
88,20120521,0.0
89,20120522,0.0
90,20120523,0.0
91,20120524,0.0
92,20120525,0.0
93,20120528,0.0
94,20120529,0.0
95,20120530,0.0
96,20120531,0.0
97,20120601,0.0
98,20120604,0.0
99,20120605,0.0
100,20120606,0.0
101,20120607,0.0
102,20120608,0.0
103,20120611,0.0
104,20120612,0.0
105,20120613,0.0
106,20120614,0.0
107,20120615,0.0
108,20120618,0.0
109,20120619,0.0
110,20120620,0.0
111,20120621,0.0
112,20120625,0.0
113,20120626,0.0
114,20120627,0.0
115,20120628,0.0
116,20120629,0.0
117,20120702,0.0
118,20120703,0.0
119,20120704,0.0
120,20120705,0.0
121,20120706,0.0
122,20120709,0.0
123,20120710,0.0
124,20120711,0.0
125,20120712,0.0
126,20120713,0.0
127,20120716,0.0
128,20120717,0.0
129,20120718,0.0
130,20120719,0.0
131,20120720,0.0
132,20120723,0.0
133,20120724,0.0
134,20120725,0.0
135,20120726,0.0
136,20120727,0.0
137,20120730,0.0
138,20120731,0.0
139,20120801,0.0
140,20120802,0.0
141,20120803,0.0
142,20120806,0.0
143,20120807,0.0
144,20120808,0.0
145,20120809,0.0
146,20120810,0.0
147,20120813,0.0
